"Total";"Ano_CS";"X";"Y";"tmean";"tmax";"tmin";"tseas";"pr";"prseas";"elev";"slope";"linear_infrastr";"forest";"water";"shrub";"bare";"for_shr_bare";"settle_med";"settle_low";"for_shr_grass";"for_shr_crop";"for_shr_agric";"mosaic_low";"settle_high";"crop_med";"grass_low";"crop_high";"grass_med";"grass_high";"mosaic_med";"ext_perm_crop";"crop_low";"int_perm_crop";"mosaic_high";"geometry"
0;2018;-7,88458404102483;42,2408599492112;-1,10015447792622;-0,869552698873818;-1,15160111727952;-0,622292133991297;1,91054193814954;0,776335959613158;-0,177225954906625;0,217543672570883;1,83945896826184;0,455644362243213;0,0170420767554;0,194530682343616;0,00132109122134883;0,00336878261443953;0,0126164211638814;0,0212035141026488;0,023185150934672;0,121804610608363;0,00277429156483255;0,00984212959904881;0,00297245524803488;0,00819076557236277;0,0179668406103441;0;0,00442565559151859;0;0,0104366206486558;0,00151925490455116;0,0903626395402603;0,000594491049606975;0,000198163683202325;c(-7.88458404102483, 42.2408599492112)
0;2017;-6,08085635488336;40,0662278365006;-0,262577116430917;-0,22029431996176;-0,159706994865889;0,99246481673825;0,149672079554501;1,14353700979164;-0,277284309948593;-0,00255011585717957;0,932454066120323;0,424329446901384;0,0203894089943139;0,113031991269887;0,00407788179886279;0,00562862558152892;0,00356096720464074;0,0171730515191546;0,0836252943541439;0,0317040951122853;0,0453736143817127;0,0112572511630578;0,00212509333180173;0,057492389868474;0,075641835621159;0,00775371891333065;0,0202745390844868;0,000574349549135604;0,00591580035609672;0,0463500086152432;0,0152202630520935;0,00844293837229338;5,74349549135604e-05;c(-6.08085635488336, 40.0662278365006)
0;2016;-1,68919764607621;42,7918784388414;-1,03349091067919;-0,874456283939924;-1,11333958578121;-0,197648943278702;1,96768633229314;0,919317594757087;-0,222447282319703;0,461732894393467;1,05064087459103;0,445614035087719;0,00883040935672515;0,0295906432748538;5,84795321637427e-05;0,000116959064327485;0,0174853801169591;0,0195321637426901;0,0729824561403509;0,0739181286549708;0,000584795321637427;0,00245614035087719;0,00994152046783626;0,208830409356725;0,0324561403508772;0,0350877192982456;0,00421052631578947;0;0;0,0102923976608187;0,00988304093567251;0,0181286549707602;0;c(-1.68919764607621, 42.7918784388414)
0;2016;-3,1124388981824;37,763577273384;-0,355019144751569;-0,513682536990833;-0,314469067519319;1,22376404227617;0,578910586783673;1,1311111227838;0,552611329731407;0,212711659285061;0,820921412404329;0,205575944122174;0,00994435894400379;0,0552859003196401;0,0013022374807624;0,00177577838285782;0,00917485497809873;0,0152716940925772;0,0451047709245886;0,0253344382621049;0,00432106073162069;0,0152125014798153;0,00509056469752575;0,0188824434710548;0,0516159583284006;0;0;0;0;0,138451521250148;0,0883745708535575;0,30928140168107;0;c(-3.1124388981824, 37.763577273384)
0;2016;-9,06642699908053;42,7630469996981;-0,753264334753598;-0,263851399889867;-1,02598749671318;-1,66700171264302;4,18678188901986;0,653721225206026;-1,11859945296599;-0,0121066793467139;1,87147801813451;0,441033138401559;0,0135233918128655;0,0884502923976608;0,000730994152046784;0,000730994152046784;0,0409356725146199;0,043859649122807;0,00670077972709552;0,221734892787524;0,00121832358674464;0,00341130604288499;0,00889376218323587;0,00682261208576998;0,0017056530214425;0;0,00146198830409357;0,000487329434697856;0,00840643274853801;0;0,108796296296296;0;0,00109649122807018;c(-9.06642699908053, 42.7630469996981)
0;2016;-7,0346707755041;43,2429098708825;-1,21465063194823;-0,950064593524922;-1,36209529450067;-1,05732889215508;3,69623614159519;0,821483014762093;-0,125178059634421;0,923077417014443;1,80897212328631;0,505464310247924;0,00518328857803035;0,164428901517517;0,000936738899644039;0,00337226003871854;0,00430899893836258;0,011365765315681;0,0511459439205645;0,0913008180853057;0,00156123149940673;0,00543308561793543;0,00218572409916942;0,000686941859738962;0,0121151564353962;0;0,0108661712358709;0,004871042278149;0,0198588646724536;0;0,0989820770623868;0;0,00593267969774558;c(-7.0346707755041, 43.2429098708825)
0;2016;-5,52038184807908;39,3448537793105;-0,0983419905760682;0,059948946617667;-0,134741002927298;1,21458420406887;0,599002521282079;0,697072312167007;-0,569198682281847;-0,273418042341668;0,821373048175898;0,314064396785941;0,0448002774726863;0,0668824787559975;0;0,000173420428926528;0,00393086305566796;0,0143938956009018;0,0476328111451529;0,0265911324354009;0,0746863980576912;0,0363604832649286;0,00254349962425574;0,0749176252962599;0,133013468986647;0,0544540146829297;0,00578068096421758;0;0,0014451702410544;0,0648014336088791;0,0278628822475288;0,00566506734493323;0;c(-5.52038184807908, 39.3448537793105)
0;2016;-5,80338998714557;39,3626345487179;-0,0849228972349824;0,0751089835346811;-0,104482691503485;1,14233608978568;0,570568651048404;0,697355437514975;-0,663270009243267;-0,354787353510919;0,822632353649736;0,309287281968349;0,0298602287166455;0,0596049439759732;0;5,77567286588888e-05;0,00612221323784221;0,0163451542104655;0,0475337876862654;0,0206191521312233;0,0895229294212776;0,0325747949636133;0,00375418736282777;0,084613607485272;0,142485849601479;0,0606445650918332;0,00369643063416888;0;0,00173270185976666;0,0596049439759732;0,0194062608293866;0,0125332101189789;0;c(-5.80338998714557, 39.3626345487179)
0;2017;-4,8145964109925;37,3728736502908;0,271718570923484;0,282447014090376;0,423740858759268;0,996314983866584;-0,14954803011323;0,804839146385586;-0,812146770224569;-0,263684839498566;1,10912295434724;0,0517641458915928;0,016183732968406;0,0253465817814006;0,00136847742012257;0,00202296662105075;0,0193371809365145;0,0220146367584935;0,00719938121021003;0,0180282025346582;0,00232046171238175;0,00237996073064794;0,0118403046349735;0,265544118522044;0,00464092342476349;0,000654489200928185;0;0;0;0,241685012197299;0,0178497054798596;0,289819717974653;0;c(-4.8145964109925, 37.3728736502908)
0;2017;-2,01674865480201;38,1132578090712;-0,357238316278274;-0,509807606311842;-0,240468399565434;0,9600671700351;-0,374881408169072;1,50099988646235;0,454935080197774;0,183831635655662;0,968188765491019;0,336504580690627;0,00469814423302795;0,0718816067653277;0,000234907211651398;0,000587268029128494;0,00751703077284473;0,012097721400047;0,051092318534179;0,0523843081982617;0,00328870096311957;0,0342964529011041;0,00287761334272962;0,0505050505050505;0,0624853182992718;0,0099835564951844;0,0202607470049331;0;0,000117453605825699;0,0351773549447968;0,110347662673244;0,133662203429645;0;c(-2.01674865480201, 38.1132578090712)
0;2016;-2,54682643234022;41,1227283039881;-0,998969828180867;-1,15970567882064;-0,920980996601499;1,05013878231404;0,563762472675725;0,638968975464961;0,903168176790012;-0,198078356645755;0,848445467411789;0,343890639063906;0,00382538253825383;0,0614311431143114;5,62556255625563e-05;5,62556255625563e-05;0;0,0138951395139514;0,0528802880288029;0,115830333033303;0,00489423942394239;0,0511926192619262;0,000281278127812781;0,232054455445545;0,0681818181818182;0,00258775877587759;0,00776327632763276;0;0,000506300630063006;0,00146264626462646;0,0392101710171017;0;0;c(-2.54682643234022, 41.1227283039881)
