"Total";"Ano_CS";"X";"Y";"tmean_15";"tseas_15";"pr_15";"prseas_15";"slope_15";"linear_infrastr_15";"forest_15";"water_15";"shrub_15";"bare_15";"for_shr_bare_15";"settle_med_15";"settle_low_15";"for_shr_grass_15";"for_shr_crop_15";"for_shr_agric_15";"mosaic_low_15";"grass_low_15";"crop_high_15";"grass_med_15";"grass_high_15";"mosaic_med_15";"ext_perm_crop_15";"crop_low_15";"int_perm_crop_15";"elev_60";"water_60";"shrub_60";"for_shr_bare_60";"settle_med_60";"settle_low_60";"for_shr_agric_60";"mosaic_low_60";"crop_high_60";"grass_med_60";"grass_high_60";"mosaic_med_60";"ext_perm_crop_60";"crop_low_60";"mosaic_high_60";"geometry"
4;2016;-2,79396536371978;39,2933680243162;-0,164202411711756;1,53014472988541;-0,00380693798329844;0,634036060764292;-0,880193048803749;0,80392687144786;0,0101663585951941;0,0157116451016636;0,000924214417744917;0,00369685767097967;0;0,00739371534195933;0,0231053604436229;0;0,00462107208872458;0;0,00369685767097967;0,00277264325323475;0;0;0;0;0,207024029574861;0,0166358595194085;0,587800369685767;0,181946370299433;0,021548977582112;0,00793604819556277;0;0,0154666048774836;0,0164513699820425;0,00393906041823553;0,0247929096912472;0,00231709436366796;5,7927359091699e-05;0;0;0,0313387012686092;0,236401552453224;0;c(-2.79396536371978, 39.2933680243162)
6;2016;-2,76662129592206;39,2373225022065;-0,174680862938342;1,51888723732263;-0,0124013818214845;0,623791534892915;-0,868375394046744;0,789861191986817;0,0175600739371534;0,00646950092421442;0,000924214417744917;0;0;0,0147874306839187;0,0277264325323475;0;0,00831792975970425;0,00277264325323475;0,00277264325323475;0,00277264325323475;0;0;0;0;0,205175600739372;0,0425138632162662;0,44177449168207;0,201633354540248;0,0207682517644336;0,00844614138609279;0;0,0153303251185931;0,0159666782367234;0,0042230706930464;0,0268425315284045;0,00277681360638667;5,7850283466389e-05;0;0;0,0315862547726484;0,229318523660766;0;c(-2.76662129592206, 39.2373225022065)
4;2016;-3,09000597169646;39,945390459362;-0,412835603607816;1,51195735155208;0,243625692169317;0,893955945328111;-0,685989427439816;0,707423615696665;0,0283363802559415;0,00274223034734918;0,00639853747714808;0;0;0,0457038391224863;0,0338208409506399;0,000914076782449726;0,0402193784277879;0,00822669104204753;0,0219378427787934;0,00822669104204753;0;0,000914076782449726;0;0;0,046617915904936;0,383912248628885;0,180073126142596;0,13444069026568;0,0167344833514815;0,0214338930597742;0,000171929623474125;0,0248724855292567;0,0285403174967047;0,00487133933176686;0,0338128259499112;0,00916957991861998;0,00275087397558599;0;0,000974267866353373;0,0374233480428678;0,371482606453092;0;c(-3.09000597169646, 39.945390459362)
14;2016;-3,01762238796449;40,0110156689354;-0,407095443429602;1,49369254849249;0,31453792470501;0,953402242532342;-0,574281229187054;0,850100992296211;0,0192483959670028;0,00641613198900092;0,0109990834097159;0;0;0,0412465627864345;0,0439963336388634;0,00274977085242896;0,0659945004582951;0;0,0494958753437214;0,00824931255728689;0;0,0164986251145738;0;0;0,0458295142071494;0,243813015582035;0,100824931255729;0,189956940536037;0,015546410608139;0,0221764974851395;0,000171467764060357;0,023891175125743;0,0287494284407865;0,00714449016918153;0,0340649291266575;0,00851623228166438;0,00217192501143118;0;0,000971650663008688;0,0396090534979424;0,373971193415638;0;c(-3.01762238796449, 40.0110156689354)
4;2016;-3,007826891943;40,0103770496198;-0,416909063863571;1,48981065218517;0,330167843627221;0,963181163007371;-0,568265284696831;0,84914321354047;0,0202391904323827;0,00735970561177553;0,0128794848206072;0;0;0,0404783808647654;0,0441582336706532;0,00275988960441582;0,0689972401103956;0;0,0542778288868445;0,00643974241030359;0;0,0165593376264949;0;0;0,0459981600735971;0,250229990800368;0,0984360625574977;0,195773600714223;0,0152667390931443;0,0222425524615473;0,000171536394304992;0,0231574132311739;0,0289896506375436;0,00714734976270799;0,0337926696780834;0,00817656812853794;0,00217279432786323;0;0,000972039567728286;0,0397392646806564;0,37560752472983;0;c(-3.007826891943, 40.0103770496198)
8;2016;-3,12502728814413;39,9247433301535;-0,413583648040364;1,52133330028337;0,215966445837459;0,869925492381387;-0,707258450292503;0,717731865203962;0,0285188592456302;0,000919963201471941;0,00551977920883165;0;0;0,0413983440662374;0,0275988960441582;0,000919963201471941;0,0404783808647654;0,0110395584176633;0,0229990800367985;0,00827966881324747;0;0,000919963201471941;0;0;0,046918123275069;0,43146274149034;0,224471021159154;0,112551415509235;0,0166666666666667;0,0210194730813288;0,000171821305841924;0,0264032073310424;0,0278923253150057;0,00395189003436426;0,034020618556701;0,00939289805269187;0,00274914089347079;0;0,000973654066437572;0,0383734249713631;0,363230240549828;0;c(-3.12502728814413, 39.9247433301535)
12;2016;-3,02873188723965;40,0989933333351;-0,32131843945268;1,50083267758728;0,277295229686956;0,911952475878903;-0,456381468103238;0,82653389915518;0,0465753424657534;0,00730593607305936;0,0438356164383562;0;0;0,0337899543378995;0,034703196347032;0,00547945205479452;0,127853881278539;0,00091324200913242;0,0575342465753425;0,010958904109589;0;0,0228310502283105;0;0,0155251141552511;0,0392694063926941;0,153424657534247;0,0255707762557078;0,194829311528026;0,0149194009374643;0,0225220075454442;0,000171487367097291;0,0359551846347319;0,027723791014062;0,00977477992454556;0,0350977477992455;0,00880301817766091;0,00211501086086658;0;0,000971761746884646;0,0448153652680919;0,346575968903624;0;c(-3.02873188723965, 40.0989933333351)
2;2016;-3,04523459581504;40,1278639141413;-0,300453922013221;1,50069304715531;0,256087850582954;0,874618652917432;-0,439683764792005;0,835790821158208;0,0473588342440801;0,00273224043715847;0,0510018214936248;0;0;0,0218579234972678;0,0255009107468124;0,00546448087431694;0,134790528233151;0,00182149362477231;0,058287795992714;0,01183970856102;0;0,0245901639344262;0;0,0154826958105647;0,0446265938069217;0,143897996357013;0,0391621129326047;0,190399989388761;0,0148766950849688;0,0228872232076443;0,000171654174057332;0,0393660239171483;0,027865194255307;0,0102420323854208;0,0354751959718487;0,00881158093494307;0,00228872232076443;0;0,000972706986324884;0,0468043714596327;0,335698346398123;0;c(-3.04523459581504, 40.1278639141413)
2;2016;-2,9311632811084;39,4706725662533;-0,231419452469424;1,55465237058593;0,0337848750811912;0,688469001690796;-0,813249436327027;0,900789119864341;0,00370027752081406;0,0212765957446809;0,00462534690101758;0;0;0,0462534690101758;0,00555041628122109;0;0,00925069380203515;0;0,00647548566142461;0,000925069380203515;0;0;0;0;0,0758556891766883;0,0869565217391304;0,686401480111008;0,12557705977244;0,021456999480879;0,00692161273576743;0;0,0181692334313895;0,0215723596931418;0,00323008594335814;0,0178808329007325;0,00230720424525581;5,76801061313953e-05;0;0;0,0215723596931418;0,304031839418585;0;c(-2.9311632811084, 39.4706725662533)
32;2016;-2,9311632811084;39,4706725662533;-0,231419452469424;1,55465237058593;0,0337848750811912;0,688469001690796;-0,813249436327027;0,900789119864341;0,00370027752081406;0,0212765957446809;0,00462534690101758;0;0;0,0462534690101758;0,00555041628122109;0;0,00925069380203515;0;0,00647548566142461;0,000925069380203515;0;0;0;0;0,0758556891766883;0,0869565217391304;0,686401480111008;0,12557705977244;0,021456999480879;0,00692161273576743;0;0,0181692334313895;0,0215723596931418;0,00323008594335814;0,0178808329007325;0,00230720424525581;5,76801061313953e-05;0;0;0,0215723596931418;0,304031839418585;0;c(-2.9311632811084, 39.4706725662533)
