"";"tmean_15";"tmax_15";"tmin_15";"tseas_15";"pr_15";"prseas_15";"elev_15";"slope_15";"linear_infrastr_15";"forest_15";"water_15";"shrub_15";"bare_15";"for_shr_bare_15";"settle_med_15";"settle_low_15";"for_shr_grass_15";"for_shr_crop_15";"for_shr_agric_15";"mosaic_low_15";"settle_high_15";"crop_med_15";"grass_low_15";"crop_high_15";"grass_med_15";"grass_high_15";"mosaic_med_15";"ext_perm_crop_15";"crop_low_15";"int_perm_crop_15";"mosaic_high_15";"tmean_60";"tmax_60";"tmin_60";"tseas_60";"pr_60";"prseas_60";"elev_60";"slope_60";"linear_infrastr_60";"forest_60";"water_60";"shrub_60";"bare_60";"for_shr_bare_60";"settle_med_60";"settle_low_60";"for_shr_grass_60";"for_shr_crop_60";"for_shr_agric_60";"mosaic_low_60";"settle_high_60";"crop_med_60";"grass_low_60";"crop_high_60";"grass_med_60";"grass_high_60";"mosaic_med_60";"ext_perm_crop_60";"crop_low_60";"int_perm_crop_60";"mosaic_high_60"
"water_15";0,254747975110236;0,291041590132821;0,232956521412615;0,0169779305387024;-0,0506260544837815;0,182408795775472;-0,282020233603779;-0,166997671504877;-0,120457259121085;-0,138364050121802;1;-0,0844174117931611;-0,0278935707907647;-0,0358123131281365;0,0166756244006065;-0,17263941286054;-0,0831421068611324;-0,131844172198826;0,00380323293764245;0,0910212324038463;0,0447890224918286;-0,0595708310240991;0,126311458357486;0,1664318755981;0,0301616176754982;-0,00961286219810861;0,0331008879823877;-0,0192760400677702;-0,0991675477323403;0,00122222076784082;-0,018903710250921;0,240860843165917;0,270137280195589;0,224728441095684;0,0265050693107324;-0,0148046244583543;0,150239616224952;-0,267545751169671;-0,155239932987186;-0,089124368170747;-0,106626036245327;0,487019832366645;-0,0983616169570932;0,0577349025240331;0,027436859236392;0,0908734868790645;-0,200047738463782;-0,105717426615711;-0,100424565735182;0,142801340660432;0,00172175252791695;0,109644026626485;-0,0335190622878436;0,0243819383582871;0,0988547205835078;-0,0295308394736211;-0,0255869727897894;-0,0240487185306181;0,0021540687814835;0,0362045994063089;0,0461127911218672;-0,0624828601749641
"shrub_15";-0,3112626968061;-0,224745206676659;-0,353894746110951;-0,305087320423237;0,345052686416271;-0,0963252381224884;0,214805123949858;0,594087627600007;0,0164632561608656;0,401143963202685;-0,0844174117931611;1;0,15751727249864;0,387155815604093;-0,0828643686335039;-0,116062259063434;0,485804712547101;0,128238934242368;-0,0171988750826155;-0,0523343366855433;-0,0788119619116028;-0,329844437427766;0,0976244766595088;-0,116362368330512;0,0728999086930138;0,0320964595237009;0,0135884686576573;-0,00518361707876975;-0,165824764881036;-0,248031075191556;0,010527441441761;-0,229098467878238;-0,149683178765294;-0,270928224967438;-0,311009678453108;0,297931073538308;-0,0926550111750205;0,109854960177402;0,469366103347414;0,186418767364377;0,362504948204438;-0,105474938220044;0,719438314240322;0,20976384138482;0,350142586286817;-0,0376013569685716;-0,0545862254712238;0,443910177390239;0,108269314446604;-0,0392242264779608;-0,0804990751320203;-0,0310313896062919;-0,272740527550912;0,197409834760157;-0,140863353028399;0,15095881895631;0,127641688278916;0,142607757907623;0,0140974477946137;-0,202520459589145;-0,248184039628833;0,116265699947705
"bare_15";-0,315133597267944;-0,274988961902152;-0,322675174109215;-0,0651971000866558;0,181568352648394;-0,105742132834517;0,277978933343934;0,387718551333778;-0,0524066979130331;0,110463752716381;-0,0278935707907647;0,15751727249864;1;0,67121699528839;-0,00126637107758336;-0,0875409513908879;0,227485790543375;-0,0580671672557619;-0,0321713198458253;-0,0633134143926941;0,0140260949351268;-0,106134601045953;0,105157081612246;-0,0303646638385482;0,0644041976103634;0,0210605805672151;-0,0117502167539169;-0,00857882083192418;-0,0757596778559053;-0,0566815181670873;0,00523679492626435;-0,213352216312274;-0,185493503309565;-0,221198819920478;-0,0577593309751081;0,127904551658107;-0,0964313620783509;0,181405580972002;0,326338196165004;-0,0300816808691527;0,191050438261116;-0,0268215320930429;0,139124505066189;0,707239973298489;0,447625946660496;-0,0370493532404814;-0,104472973996807;0,15801673701311;-0,0357323744964259;-0,0414242101983892;-0,0981804944071156;-0,0236650987279429;-0,0977609836956353;0,0810184538785114;-0,048832227765352;0,0585913432030382;0,0170596561416358;0,00232941433955963;-0,0219623544022351;-0,0853237055850575;-0,0680244959505866;-0,0122152232979001
"for_shr_bare_15";-0,329971720592716;-0,270180218992097;-0,35257905621164;-0,163405741683742;0,286731447886778;-0,103302296456556;0,280133939658533;0,519783142060979;0,000435604529294046;0,22202660663888;-0,0358123131281365;0,387155815604093;0,67121699528839;1;-0,0435338816015406;-0,117030296976569;0,295150737757512;-0,0297613971061961;-0,0498595548817767;-0,113917305891033;-0,037818170977415;-0,17073095389134;0,0236510045149298;-0,0488832524005979;0,0763788811218775;0,0372119346001865;-0,021756980972639;0,0379726042023507;-0,112776736138282;-0,0893890130124303;0,0144768480585625;-0,224098832930758;-0,168581395520947;-0,251048237394245;-0,16448530439656;0,228668971218439;-0,105833486903193;0,167305138017831;0,417162948185652;0,0911018154213545;0,244031215971573;-0,0576309470517891;0,314196697904039;0,534398416512391;0,586827595830042;-0,0343544151814946;-0,0904391733573678;0,25989402537281;-0,0169599975563806;-0,0703517423408744;-0,130949475507839;-0,030931923626691;-0,160557921427573;0,0428977821632097;-0,103089625442162;0,127548646784513;0,0673201181246327;0,0568462007542834;0,0448792048169653;-0,13342215687672;-0,0880537260603754;0,0211659481975958
"settle_med_15";0,224210441975601;0,270941160224502;0,154388624021931;-0,132961856845183;-0,0687990352970348;-0,00433616382295345;-0,245725986454427;-0,0667497857069031;0,576901988722374;-0,103287762665692;0,0166756244006065;-0,0828643686335039;-0,00126637107758336;-0,0435338816015406;1;0,127029511217237;-0,0808895907517932;-0,115522442885467;-0,133214280269086;-0,0956574139418465;0,835984213782448;-0,117035953895447;-0,0795691402371074;-0,000504516325415925;-0,0129407567468552;0,00515938635700122;-0,0738136800452806;0,125696401580853;-0,0395173282469271;0,0762789595796417;-0,0121613637909322;0,153667886601461;0,187643828188204;0,101047875299071;-0,100713628366544;-0,0247616418033755;-0,039795705250261;-0,156602646733614;0,0153691484034635;0,321023055802481;-0,0233021141821654;0,151651202793852;-0,0141994203039225;0,00409774992271465;0,020833960708193;0,644318114734535;0,157483599914038;-0,0232687568668816;-0,0728775834878375;-0,126803938175101;-0,0542156857361948;0,617820080659422;-0,137402182476401;-0,0650365421937054;-0,107823132513517;0,0223394563676319;-0,00613627871167699;-0,0460859015018797;0,0876948316014509;0,0431245480729691;0,0859966006953539;-0,0174545053110819
"settle_low_15";-0,0459381158194697;-0,0635759427279687;-0,0212821101087891;-0,0704550940485169;-0,123485872694959;0,0979600994941525;-0,0468295322147867;-0,228839729074412;0,363088752270086;-0,215314889094136;-0,17263941286054;-0,116062259063434;-0,0875409513908879;-0,117030296976569;0,127029511217237;1;-0,118570900229141;0,109665520528849;-0,156905067973993;-0,0940344813592522;-0,0377073192545022;0,286448829580426;-0,141776257305889;0,148423006972506;0,0174451953085492;0,0300670532054745;0,057351525685879;0,042859898038183;-0,0137959984700795;-0,129057523265154;0,0213140131550492;-0,134053690322632;-0,150318272703315;-0,10252074731555;-0,0806401870540141;-0,116339852903392;0,0698359010833124;0,0470528469436071;-0,174317394310415;0,270780725799572;-0,19226332779779;-0,132464498543837;0,0140952527224717;-0,116899505609922;-0,0970480416479182;0,183567651912985;0,567801690947063;-0,0460090303853921;0,165244210634019;-0,195485058190778;-0,000733629743031921;0,123234899502854;0,293232995100936;-0,0710396348421118;0,104510687752337;0,0441076494042067;-0,0257166607100865;0,0731846732038529;0,00814962336822493;-0,0938009444229627;-0,192812809392765;-0,0418056187683634
"for_shr_grass_15";-0,31226982160563;-0,187051932363173;-0,355681447034504;-0,26891538813971;0,3485393105784;-0,015895932241461;0,223748641971429;0,532369917053316;-0,0164871554015608;0,514037373055787;-0,0831421068611324;0,485804712547101;0,227485790543375;0,295150737757512;-0,0808895907517932;-0,118570900229141;1;-0,087207143341462;0,13559960732149;0,176252019823428;-0,0738924992088976;-0,425616576661418;0,462075658502071;-0,111134777029623;0,461430789434036;0,131291027561215;0,167021209606294;-0,121149355734834;-0,229244356835929;-0,286236493816838;0,0787972327773465;-0,227077236340634;-0,114664293933485;-0,261420632962361;-0,239227109975457;0,313962047766573;-0,000547663773078349;0,125828946374668;0,44300887331962;0,0149942740551086;0,526590887102804;-0,111296014150808;0,491409829876752;0,282298137926991;0,391544821078611;-0,138650494940544;-0,145693950239957;0,803885821719845;-0,156198288324251;0,185492776801258;0,178304483557053;-0,0957250964470377;-0,353080367194684;0,568806670333497;-0,0729442124093259;0,482119039730104;0,233919656767875;0,25646443494911;-0,152559249773312;-0,289914781741174;-0,30845447381698;0,0551160858080986
"for_shr_crop_15";-0,241675574232645;-0,212982525882216;-0,270635524789384;-0,247924964836794;0,188805354703026;-0,182260869838477;0,0299596658782446;0,121691025440936;0,105762100634774;0,194639857503181;-0,131844172198826;0,128238934242368;-0,0580671672557619;-0,0297613971061961;-0,115522442885467;0,109665520528849;-0,087207143341462;1;-0,112540565802355;-0,0483608231723944;-0,112181122645983;0,0652606207161853;-0,220686054058114;0,0578600801379431;-0,0645358047101034;-0,0121007830721826;0,141416314041606;-0,130522940318863;0,0771309027712084;-0,346598678092191;0,0288479518305998;-0,282704847232103;-0,243625330097568;-0,320663848010851;-0,275356809262835;0,227792522115687;-0,213722401526247;0,0455480824710476;0,181982740085381;0,220469014820271;0,143167811529953;-0,12184582540215;0,219387100541166;-0,0207154897035075;0,0514616275114221;-0,0205345339350701;0,0909861311735502;-0,0455001527442714;0,752085292164567;-0,239697620201885;-0,0908861890632794;-0,0386637293070259;0,0968947155118133;-0,191660227376487;-0,0360454391008874;-0,0213270404023063;0,021496279969052;0,172569048870179;-0,0800373330303029;0,00213212147525593;-0,361005961345214;0,151925682649446
"for_shr_agric_15";0,132918390853727;0,160981136953161;0,167900853235707;0,106371365800797;0,0231090691196232;0,110177613762262;-0,141814633360818;-0,0593584549654684;-0,199215602819975;0,181590095629821;0,00380323293764245;-0,0171988750826155;-0,0321713198458253;-0,0498595548817767;-0,133214280269086;-0,156905067973993;0,13559960732149;-0,112540565802355;1;0,164505034453244;-0,092562582146169;-0,217155367344727;0,227691236322341;0,0296286261929022;0,112806380110316;-0,00962328594256235;0,0658927521721375;-0,0334286136106514;-0,0124858768599564;-0,158752163016557;-0,00644212461836969;0,179224731737716;0,209470815883879;0,214190716343421;0,129130411783079;0,0193025025302296;0,13489066451879;-0,196089612331378;-0,0551017345141232;-0,299220772099963;0,270723978445577;0,0223558702608255;-0,0317734144388148;-0,060747999142023;-0,0821685499954535;-0,235568043595958;-0,309210859127189;0,159004737630123;-0,227545205840438;0,683545108616289;0,233705678618899;-0,162247455862025;-0,222630516305891;0,401181591298143;0,0558253030714781;0,12648126322594;-0,0329501297859932;0,0262851201366977;-0,0403809404039326;-0,10245589104047;-0,145797697412486;-0,0462517470903429
"mosaic_low_15";0,00969688724969982;0,0289208103281295;0,026666277152798;0,125322066465654;-0,0831520875102961;0,136248455823209;0,0651600129188659;-0,129567539141209;-0,195262680882887;-0,117324769055918;0,0910212324038463;-0,0523343366855433;-0,0633134143926941;-0,113917305891033;-0,0956574139418465;-0,0940344813592522;0,176252019823428;-0,0483608231723944;0,164505034453244;1;-0,0824078446256123;-0,17533889671714;0,703932486732069;0,0188452824597859;0,142449466550001;-0,0249231913860136;0,0122215426873492;-0,131854651490701;0,140660161496203;-0,207259444947164;-0,0222754131815954;0,0497429597123375;0,0648687097106749;0,0690839512109475;0,148273455548614;-0,0559224923858322;0,190442054682642;0,025178271656116;-0,0923650311302637;-0,218087393479401;0,0757271493065656;0,00740214697650732;-0,0555805717522435;-0,122561442269223;-0,146724067603479;-0,185421925178159;-0,206783767071581;0,242677630115625;-0,11945800396463;0,563059379219869;0,656933838251261;-0,118876511274093;-0,218886695225305;0,542474148489951;0,22600797873798;0,224291832802535;-0,0249415861044231;0,00017761236631311;-0,107783773686798;0,0928539907521191;-0,179614621999016;-0,0509206637732368
